platform,run_id,avg_fps,p95_frame_ms,avg_frame_ms,updates_per_sec,duration_sec
Unity_HoloLens2,1,49.47,17.60,20.27,8.47,15.00
WebXR,1,31.00,33.00,32.26,7.12,15.00
